(13, 89), -137
(117, 94), 56
(-15, -41), 194
(176, 114), -20
(-66, -152), 82
(-15, -23), 175
(9, -32), -195
(58, -134), 4
(67, 138), -99
(-191, 91), 77
(130, 59), 38
(-3, -44), -5
(127, 131), 183
(163, -43), -54
(-57, 6), -58
(-8, -147), -179
(81, -117), 115
(-40, 124), -82
(27, 74), -4
(101, -5), 150
(-59, 121), 80
(128, -50), -28
(168, -169), 66
(-37, 126), -25
(-9, 141), 3
(-62, -65), -135
(-182, 84), -3
(-159, -147), 156
(0, -62), 145
(191, -96), 93
(120, 55), -102
(29, 75), -189
(38, 19), 137
(174, -193), 24
(-62, 172), 137
(-50, -80), 23
(52, 50), 86
(8, 48), 160
(176, -26), -126
(188, 20), -109
(60, 35), -194
(65, 108), -52
(144, -145), 176
(110, 40), 136
(-54, 67), 83
(-78, 149), 37
(-169, 142), -191
(184, -74), -140
(194, 18), 176
(180, -111), 7
(62, -172), -160
(-113, 147), -126
(80, -193), 112
(-44, -35), -185
(-98, 71), -12
(153, -105), 8
(192, -139), 153
(51, -105), -86
(-157, 161), -165
(-171, -136), -69
(169, 198), -86
(-158, 23), 129
(6, 58), -98
(-13, 58), 110
(105, 17), -105
(-65, 63), -133
(-46, 62), 97
(69, 172), -113
(139, -98), 8
(-167, -136), 116
(-91, 127), 39
(-78, -95), 61
(-127, -2), -20
(-72, 9), -113
(10, 25), 91
(32, 131), 49
(-131, -104), -68
(194, 181), -2
(-148, -116), -119
(179, 71), 62
(-178, -54), 119
(47, 139), -54
(-198, -187), 140
(-125, 157), -103
(-153, 194), 129
(-140, 107), -197
(63, -6), 24
(118, 93), 125
(43, -161), -200
(-184, -176), 196
(-16, 144), -73
(-97, -129), -34
(-90, -56), 123
(-152, -14), 42
(4, 80), -24
(63, -147), -131
(-6, 96), -3
(-133, -151), -153
(-89, 107), 174
(104, -42), -133
(-196, -8), 105
(-144, 138), -22
(-85, -86), 108
(-118, -184), 4
(13, -96), -11
(194, 36), 28
(156, 14), 35
(113, 110), -113
(-194, -128), 173
(148, 148), 193
(20, -98), -100
(121, -110), 169
(-102, 176), 98
(147, 107), 134
(-133, -136), 100
(142, 183), 67
(19, 190), 32
(45, 70), 51
(95, 61), 61
(-13, -159), -64
(-7, 14), -122
(-121, -84), 194
(-42, -52), 54
(-24, 123), -20
(151, -46), 169
(162, 133), 11
(-104, 52), 135
(-43, -137), 125
(-162, -185), 132
(28, 94), -37
(72, -30), 150
(68, 58), 97
(-137, -112), -179
(-134, 182), -2
(60, 87), 181
(188, 0), -138
(-35, 152), -151
(-133, -120), -157
(167, 50), 57
(-49, -181), -48
(-27, -75), 199
(108, 46), -65
(176, -121), 118
(118, -105), -40
(-108, -13), -164
(-44, -123), -85
(-56, 95), -126
(41, 175), 199
(149, -90), -52
(111, 73), -152
(-34, 194), 19
(-198, -65), 122
(116, 45), 182
(-18, 188), 81
(-108, 0), -183
(12, 74), -18
(-149, 9), -58
(-96, 16), -116
(23, 52), -121
(-26, 97), 0
(55, 39), 19
(-169, -24), -103
(-64, -93), 148
(-112, 192), 181
(-164, 12), -96
(12, -181), -14
(-66, 156), -169
(-22, 18), -16
(45, -7), 153
(-18, 21), 21
(-30, 45), -158
(-88, -173), 175
(94, 179), 119
(-118, -133), -107
(-16, 127), 152
(87, 101), 52
(157, 190), 123
(84, -134), 20
(165, 102), -8
(-196, -191), -117
(151, 182), -117
(-182, -154), -120
(18, -167), -171
(-103, -179), -96
(-114, -26), -104
(142, -86), -81
(144, 163), -76
(185, 7), 15
(122, -86), -149
(125, -100), 152
(-89, -89), -9
(168, 31), 58
(-149, 140), -176
(-55, 70), -185
(-47, -181), -14
(123, 70), -110
(191, 76), 117
(134, 157), 151
(-131, 99), -96
(115, -104), 39
(-112, -17), -70
(97, 82), 127
(-14, 89), -140
(-86, -147), 8
(144, -58), -82
(-154, -34), 118
(-50, -62), 48
(109, 123), 37
(95, -13), 191
(-159, 117), -75
(124, 34), 121
(-172, 11), 55
(41, 131), -146
(-147, 127), -179
(80, -19), 93
(-141, -49), 170
(-197, -3), 152
(124, 149), 148
(-150, 93), 166
(-163, -196), -93
(-152, -52), 108
(-16, 84), -115
(-137, -13), -144
(-28, 148), 133
(126, 190), 22
(28, 39), 19
(43, 82), 173
(-110, 8), 72
(177, -165), 157
(196, 136), -181
(123, 165), -152
(6, -39), -154
(169, -165), 33
(-148, -137), 41
(-58, -118), 76
(154, -84), 167
(-179, -142), -165
(-52, -138), 128
(-119, 0), 175
(-83, 87), -177
(-130, 141), 111
(114, -4), -101
(-54, 9), 21
(-29, -125), -44
(100, -197), -144
(82, 141), -79
(60, 164), -149
(-95, -2), -183
(-112, -169), 37
(131, -79), 65
(53, -88), 197
(-196, 96), -136
(75, 184), 171
(105, 92), 56
(163, -176), 58
(-40, 128), 13
(-187, 145), 172
(-101, 9), -156
(19, 182), 72
(-183, 1), -121
(189, -95), -5
(-190, 98), -188
(-195, -143), -148
(-50, -123), 22
(-23, 7), -3
(135, -10), 73
(91, -90), 21
(161, 138), -169
(51, 172), -102
(158, 23), -154
(130, 98), -125
(38, 134), 166
(-91, 166), 172
(25, 97), -36
(34, -23), 123
(145, -86), 54
(161, -98), 40
(-192, -16), 166
(-93, -84), -135
(-32, -144), 73
(-10, -169), -163
(42, -67), -20
(-101, 88), 198
(-139, -55), -195
(9, -198), -157
(126, 143), 55
(-189, -162), 53
(187, 197), 127
(96, -60), 180
(118, 129), 185
(-182, -21), -152
(72, 118), 164
(189, -89), 51
(192, 58), -135
(82, 163), -171
(-137, 160), -143
(-43, -49), -146
(-156, -64), -31
(-7, 165), -4
(-134, -164), -68
(10, 143), 172
(-118, 78), -11
(-146, 37), 199
(-154, 3), -183
(94, -160), -112
(191, -176), 35
(-37, -122), -155
(-164, -22), -8
(55, -40), -77
(21, 63), -69
(98, -86), -124
(-94, 127), -198
(40, -55), -140
(191, -81), -70
(-32, -112), -178
(175, 77), 153
(185, 114), -147
(77, 6), 73
(-154, -172), -153
(178, -43), -127
(181, 99), 176
(5, -132), 52
(-75, -163), -56
(-87, 4), 85
(-170, -71), 34
(147, -135), 21
(-114, -156), 46
(163, -134), -167
(171, 86), -41
(140, 136), 133
(74, 146), 95
(131, 96), 50
(-15, 14), -17
(-77, -91), 92
(181, -7), 188
(-162, 41), 82
(-48, 23), -80
(-52, 89), 20
(-139, 60), -167
(51, -148), 72
(-161, -179), -82
(-124, -91), -147
(193, 129), 6
(-187, -189), 46
(139, -100), 9
(172, -146), -144
(-30, -71), -73
(-185, -35), -76
(179, -122), -132
(10, 119), -162
(-186, -166), 35
(84, -90), -81
(-40, -18), 161
(183, -14), 48
(186, 114), 142
(-108, -72), -191
(154, -20), -105
(136, -60), 160
(-59, 182), -151
(-58, -116), 159
(152, 54), 129
(-55, 12), 66
(164, -135), -104
(199, 115), -200
(-138, -69), -106
(-160, -59), -189
(188, -170), 7
